round_num,protocol,workload,num_cores,avg_latency,p50_latency,p99_latency,traffic_bytes,hit_rate,efficiency,invalidation_count,merge_count,merge_conflicts
30,MESI,GPT3_SCALE,8,126.91565,127.0,127.0,2718124,0.000725,1.7137366431956974e-05,22,0,0
30,CRDT,GPT3_SCALE,8,2.0,2.0,2.0,1267200,1.0,1.0,0,2400,2193
30,MESI,GPT3_SCALE,16,126.988775,127.0,127.0,2719724,0.00015,3.543620292423484e-06,26,0,0
30,CRDT,GPT3_SCALE,16,2.0,2.0,2.0,1267200,1.0,1.0,0,2400,2073
30,MESI,GPT3_SCALE,32,126.98755,127.0,127.0,2719676,0.000175,4.1342635557580254e-06,27,0,0
30,CRDT,GPT3_SCALE,32,2.0,2.0,2.0,1267200,1.0,1.0,0,2400,1715
30,MESI,GPT3_SCALE,64,127.010325,127.0,127.0,2720008,2.5e-05,5.905031736593068e-07,22,0,0
30,CRDT,GPT3_SCALE,64,2.0,2.0,2.0,1267200,1.0,1.0,0,2400,1214
30,MESI,BERT_BASE,8,103.364075,127.0,136.0,2224116,0.19345,0.005614619973138636,9544,0,0
30,CRDT,BERT_BASE,8,2.0,2.0,2.0,1267200,1.0,1.0,0,2400,2169
30,MESI,BERT_BASE,16,115.563475,127.0,140.0,2496756,0.10365,0.0026907290560447407,11554,0,0
30,CRDT,BERT_BASE,16,2.0,2.0,2.0,1267200,1.0,1.0,0,2400,2059
30,MESI,BERT_BASE,32,122.835075,127.0,144.0,2648780,0.053975,0.0013182309694523327,12844,0,0
30,CRDT,BERT_BASE,32,2.0,2.0,2.0,1267200,1.0,1.0,0,2400,1696
30,MESI,BERT_BASE,64,127.43685,127.0,150.0,2731940,0.026275,0.0006185416541604724,13439,0,0
30,CRDT,BERT_BASE,64,2.0,2.0,2.0,1267200,1.0,1.0,0,2400,1078
